MODUL
MSR310220

CHANNEL
TIME;ACC x;ACC y;ACC z;BAT

UNIT
;g;g;g;V

DATA
19.10.2015 11:30:00.047;-0.188;-1.000;0.016;3.89
19.10.2015 11:30:01.047;-0.156;-1.000;0.016;
19.10.2015 11:30:02.047;-0.188;-1.000;0.016;
19.10.2015 11:30:03.047;-0.188;-1.000;0.016;
19.10.2015 11:30:04.047;-0.188;-1.000;0.016;
19.10.2015 11:30:05.047;-0.188;-1.000;-0.016;
19.10.2015 11:30:06.047;-0.188;-1.000;-0.016;
19.10.2015 11:30:07.047;-0.250;-0.969;-0.016;
19.10.2015 11:30:08.047;-0.219;-1.000;-0.115;
19.10.2015 11:30:09.047;-0.219;-0.969;-0.115;
19.10.2015 11:30:10.047;-0.188;-0.969;-0.115;
19.10.2015 11:30:11.047;-0.188;-1.000;-0.115;
19.10.2015 11:30:12.047;-0.188;-1.000;-0.082;
19.10.2015 11:30:13.047;-0.188;-0.969;-0.049;
19.10.2015 11:30:14.047;-0.188;-1.000;-0.115;
19.10.2015 11:30:15.047;-0.219;-1.000;-0.082;
19.10.2015 11:30:16.047;-0.188;-1.000;-0.082;
19.10.2015 11:30:17.047;-0.188;-1.000;-0.082;
19.10.2015 11:30:18.047;-0.188;-1.000;-0.082;
19.10.2015 11:30:19.047;-0.188;-1.000;-0.115;
19.10.2015 11:30:20.047;-0.188;-0.969;-0.115;
19.10.2015 11:30:21.047;-0.219;-1.000;-0.082;
19.10.2015 11:30:22.047;-0.156;-1.000;-0.082;
19.10.2015 11:30:23.047;-0.125;-1.000;-0.082;
19.10.2015 11:30:24.047;-0.125;-0.969;-0.049;
19.10.2015 11:30:25.047;-0.094;-1.000;-0.082;
19.10.2015 11:30:26.047;-0.063;-1.000;-0.082;
19.10.2015 11:30:27.047;-0.125;-0.969;-0.082;
19.10.2015 11:30:28.047;-0.188;-0.969;-0.148;
19.10.2015 11:30:29.047;-0.125;-0.969;-0.049;
19.10.2015 11:30:30.047;-0.094;-1.000;-0.082;
19.10.2015 11:30:31.047;-0.156;-0.969;-0.016;
19.10.2015 11:30:32.047;-0.156;-1.000;-0.016;
19.10.2015 11:30:33.047;-0.156;-1.000;-0.016;
19.10.2015 11:30:34.047;-0.156;-1.000;-0.016;
19.10.2015 11:30:35.047;-0.125;-1.000;-0.049;
19.10.2015 11:30:36.047;-0.156;-1.000;-0.049;
19.10.2015 11:30:37.047;-0.125;-1.000;-0.049;
19.10.2015 11:30:38.047;-0.094;-1.000;0.016;
19.10.2015 11:30:39.047;-0.031;-1.000;0.082;
19.10.2015 11:30:40.047;0.000;-1.000;0.115;
19.10.2015 11:30:41.047;-0.031;-1.000;0.049;
19.10.2015 11:30:42.047;0.000;-1.000;0.082;
19.10.2015 11:30:43.047;0.000;-1.000;0.082;
19.10.2015 11:30:44.047;0.000;-1.000;0.115;
19.10.2015 11:30:45.047;0.000;-1.000;0.115;
19.10.2015 11:30:46.047;0.000;-1.000;0.115;
19.10.2015 11:30:47.047;0.000;-0.969;0.180;
19.10.2015 11:30:48.047;0.063;-1.000;0.115;
19.10.2015 11:30:49.047;0.000;-1.031;0.049;
19.10.2015 11:30:50.047;-0.094;-1.000;0.016;
19.10.2015 11:30:51.047;-0.094;-1.000;0.016;
19.10.2015 11:30:52.047;-0.094;-1.000;-0.016;
19.10.2015 11:30:53.047;-0.125;-1.000;-0.016;
19.10.2015 11:30:54.047;-0.125;-1.000;-0.016;
19.10.2015 11:30:55.047;-0.125;-1.000;-0.049;
19.10.2015 11:30:56.047;-0.125;-1.000;-0.049;
19.10.2015 11:30:57.047;-0.125;-1.000;-0.016;
19.10.2015 11:30:58.047;-0.125;-1.031;-0.049;
19.10.2015 11:30:59.047;-0.094;-1.031;-0.115;
19.10.2015 11:31:00.047;-0.188;-1.062;0.180;
19.10.2015 11:31:01.047;0.000;-1.000;0.180;
19.10.2015 11:31:02.047;0.313;-1.123;-0.115;
19.10.2015 11:31:03.047;-0.344;-0.938;-0.213;
19.10.2015 11:31:04.047;-0.313;-0.938;-0.213;
19.10.2015 11:31:05.047;-0.313;-0.938;-0.180;
19.10.2015 11:31:06.047;-0.344;-0.938;-0.246;
19.10.2015 11:31:07.047;-0.344;-0.908;-0.246;
19.10.2015 11:31:08.047;-0.344;-0.908;-0.246;
19.10.2015 11:31:09.047;-0.375;-0.908;-0.246;
19.10.2015 11:31:10.047;-0.344;-0.908;-0.213;
19.10.2015 11:31:11.047;-0.344;-0.938;-0.246;
19.10.2015 11:31:12.047;-0.375;-0.938;-0.246;
19.10.2015 11:31:13.047;-0.375;-0.908;-0.246;
19.10.2015 11:31:14.047;-0.344;-0.908;-0.246;
19.10.2015 11:31:15.047;-0.375;-0.908;-0.246;
19.10.2015 11:31:16.047;-0.344;-0.938;-0.246;
19.10.2015 11:31:17.047;-0.375;-0.908;-0.213;
19.10.2015 11:31:18.047;-0.344;-0.908;-0.213;
19.10.2015 11:31:19.047;-0.313;-0.938;-0.246;
19.10.2015 11:31:20.047;-0.344;-0.908;-0.246;
19.10.2015 11:31:21.047;-0.344;-0.908;-0.246;
19.10.2015 11:31:22.047;-0.313;-0.938;-0.246;
19.10.2015 11:31:23.047;-0.344;-0.908;-0.246;
19.10.2015 11:31:24.047;-0.344;-0.908;-0.246;
19.10.2015 11:31:25.047;-0.344;-0.908;-0.246;
19.10.2015 11:31:26.047;-0.344;-0.908;-0.246;
19.10.2015 11:31:27.047;-0.344;-0.938;-0.246;
19.10.2015 11:31:28.047;-0.344;-0.908;-0.279;
19.10.2015 11:31:29.047;-0.375;-0.908;-0.246;
19.10.2015 11:31:30.047;-0.344;-0.938;-0.213;
19.10.2015 11:31:31.047;-0.375;-0.908;-0.213;
19.10.2015 11:31:32.047;-0.375;-0.908;-0.246;
19.10.2015 11:31:33.047;-0.375;-0.908;-0.213;
19.10.2015 11:31:34.047;-0.375;-0.908;-0.246;
19.10.2015 11:31:35.047;-0.375;-0.908;-0.213;
19.10.2015 11:31:36.047;-0.375;-0.908;-0.213;
19.10.2015 11:31:37.047;-0.375;-0.908;-0.213;
19.10.2015 11:31:38.047;-0.375;-0.908;-0.246;
19.10.2015 11:31:39.047;-0.344;-0.908;-0.246;
19.10.2015 11:31:40.047;-0.375;-0.908;-0.246;
19.10.2015 11:31:41.047;-0.313;-0.631;0.180;
19.10.2015 11:31:42.047;-0.219;-1.000;-0.082;
19.10.2015 11:31:43.047;-0.188;-1.000;-0.082;
19.10.2015 11:31:44.047;-0.188;-1.000;-0.082;
19.10.2015 11:31:45.047;-0.156;-0.969;-0.082;
19.10.2015 11:31:46.047;-0.188;-0.969;-0.082;
19.10.2015 11:31:47.047;-0.188;-1.000;-0.082;
19.10.2015 11:31:48.047;-0.188;-1.000;-0.082;
