MODUL
MSR310220

CHANNEL
TIME;ACC x;ACC y;ACC z;BAT

UNIT
;g;g;g;V

DATA
19.10.2015 10:01:44.049;-0.516;-0.016;0.902;
19.10.2015 10:01:45.049;-0.516;-0.048;0.869;
19.10.2015 10:01:46.049;-0.516;-0.016;0.869;
19.10.2015 10:01:47.049;-0.516;-0.016;0.869;
19.10.2015 10:01:48.049;-0.516;-0.016;0.902;
19.10.2015 10:01:49.049;-0.516;-0.016;0.902;
19.10.2015 10:01:50.049;-0.516;-0.016;0.902;
19.10.2015 10:01:51.049;-0.516;-0.016;0.902;
19.10.2015 10:01:52.049;-0.516;-0.016;0.934;
19.10.2015 10:01:53.049;-0.516;-0.016;0.902;
19.10.2015 10:01:54.049;-0.516;-0.016;0.902;
19.10.2015 10:01:55.049;-0.516;-0.016;0.902;
19.10.2015 10:01:56.049;-0.516;-0.016;0.902;
19.10.2015 10:01:57.049;-0.516;-0.016;0.869;
19.10.2015 10:01:58.049;-0.516;-0.016;0.902;
19.10.2015 10:01:59.049;-0.516;-0.016;0.869;
19.10.2015 10:02:00.049;-0.516;-0.016;0.902;
19.10.2015 10:02:01.049;-0.516;-0.016;0.902;
19.10.2015 10:02:02.049;-0.484;-0.016;0.902;
19.10.2015 10:02:03.049;-0.516;-0.016;0.902;
19.10.2015 10:02:04.049;-0.516;-0.016;0.934;
19.10.2015 10:02:05.049;-0.516;-0.016;0.902;
19.10.2015 10:02:06.049;-0.516;-0.016;0.902;
19.10.2015 10:02:07.049;-0.516;-0.016;0.902;
19.10.2015 10:02:08.049;-0.516;-0.016;0.902;
19.10.2015 10:02:09.049;-0.516;-0.016;0.869;
19.10.2015 10:02:10.049;-0.516;-0.016;0.902;
19.10.2015 10:02:11.049;-0.516;-0.016;0.902;
19.10.2015 10:02:12.049;-0.548;-0.016;0.902;
19.10.2015 10:02:13.049;-0.516;-0.016;0.869;
19.10.2015 10:02:14.049;-0.516;-0.016;0.869;
19.10.2015 10:02:15.049;-0.516;-0.016;0.902;
19.10.2015 10:02:16.049;-0.516;-0.016;0.902;
19.10.2015 10:02:17.049;-0.516;-0.016;0.902;
19.10.2015 10:02:18.049;-0.516;-0.016;0.902;
19.10.2015 10:02:19.049;-0.516;-0.016;0.902;
19.10.2015 10:02:20.049;-0.548;-0.016;0.902;
19.10.2015 10:02:21.049;-0.516;-0.016;0.902;
19.10.2015 10:02:22.049;-0.516;-0.016;0.902;
19.10.2015 10:02:23.049;-0.516;-0.016;0.869;
19.10.2015 10:02:24.049;-0.516;-0.016;0.934;
19.10.2015 10:02:25.049;-0.516;-0.016;0.902;
19.10.2015 10:02:26.049;-0.516;-0.016;0.869;
19.10.2015 10:02:27.049;-0.516;-0.016;0.902;
19.10.2015 10:02:28.049;-0.516;-0.016;0.902;
19.10.2015 10:02:29.049;-0.516;-0.016;0.934;
19.10.2015 10:02:30.049;-0.484;-0.016;0.902;
19.10.2015 10:02:31.049;-0.516;-0.016;0.902;
19.10.2015 10:02:32.049;-0.516;-0.016;0.869;
19.10.2015 10:02:33.049;-0.516;-0.016;0.902;
19.10.2015 10:02:34.049;-0.484;-0.016;0.869;
19.10.2015 10:02:35.049;-0.516;-0.016;0.902;
19.10.2015 10:02:36.049;-0.516;-0.016;0.902;
19.10.2015 10:02:37.049;-0.516;-0.016;0.902;
19.10.2015 10:02:38.049;-0.516;-0.016;0.869;
19.10.2015 10:02:39.049;-0.516;-0.016;0.902;
19.10.2015 10:02:40.049;-0.516;-0.048;0.869;
19.10.2015 10:02:41.049;-0.516;-0.016;0.902;
19.10.2015 10:02:42.049;-0.516;-0.016;0.902;
19.10.2015 10:02:43.049;-0.516;-0.016;0.869;
19.10.2015 10:02:44.049;-0.516;-0.016;0.902;
19.10.2015 10:02:45.049;-0.548;-0.016;0.902;
