MODUL
MSR310220

CHANNEL
TIME;ACC x;ACC y;ACC z;BAT

UNIT
;g;g;g;V

DATA
19.10.2015 11:30:00.049;0.290;-0.937;0.082;3.85
19.10.2015 11:30:01.049;0.258;-0.937;0.082;
19.10.2015 11:30:02.049;0.258;-0.968;0.082;
19.10.2015 11:30:03.049;0.290;-0.937;0.082;
19.10.2015 11:30:04.049;0.258;-0.937;-0.049;
19.10.2015 11:30:05.049;0.290;-0.905;0.082;
19.10.2015 11:30:06.049;0.387;-0.905;0.148;
19.10.2015 11:30:07.049;0.290;-0.937;0.148;
19.10.2015 11:30:08.049;0.290;-0.937;0.082;
19.10.2015 11:30:09.049;0.258;-0.968;0.082;
19.10.2015 11:30:10.049;0.258;-0.968;0.082;
19.10.2015 11:30:11.049;0.226;-0.968;0.082;
19.10.2015 11:30:12.049;0.258;-0.937;0.082;
19.10.2015 11:30:13.049;0.258;-0.937;0.082;
19.10.2015 11:30:14.049;0.258;-0.968;0.082;
19.10.2015 11:30:15.049;0.290;-0.937;0.049;
19.10.2015 11:30:16.049;0.258;-0.937;0.049;
19.10.2015 11:30:17.049;0.258;-0.937;0.082;
19.10.2015 11:30:18.049;0.258;-0.937;0.049;
19.10.2015 11:30:19.049;0.258;-0.937;0.082;
19.10.2015 11:30:20.049;0.258;-0.968;0.049;
19.10.2015 11:30:21.049;0.258;-0.937;0.082;
19.10.2015 11:30:22.049;0.258;-0.968;0.082;
19.10.2015 11:30:23.049;0.258;-0.937;0.082;
19.10.2015 11:30:24.049;0.258;-0.968;0.082;
19.10.2015 11:30:25.049;0.258;-0.937;0.082;
19.10.2015 11:30:26.049;0.258;-0.968;0.115;
19.10.2015 11:30:27.049;0.258;-0.937;0.082;
19.10.2015 11:30:28.049;0.258;-0.968;0.082;
19.10.2015 11:30:29.049;0.290;-0.937;0.082;
19.10.2015 11:30:30.049;0.258;-0.937;0.049;
19.10.2015 11:30:31.049;0.258;-0.937;0.049;
19.10.2015 11:30:32.049;0.290;-0.937;0.082;
19.10.2015 11:30:33.049;0.258;-0.937;0.082;
19.10.2015 11:30:34.049;0.258;-0.937;0.082;
19.10.2015 11:30:35.049;0.290;-0.937;0.082;
19.10.2015 11:30:36.049;0.258;-0.937;0.082;
19.10.2015 11:30:37.049;0.258;-0.968;0.049;
19.10.2015 11:30:38.049;0.258;-0.937;0.049;
19.10.2015 11:30:39.049;0.258;-0.937;0.049;
19.10.2015 11:30:40.049;0.258;-0.937;0.082;
19.10.2015 11:30:41.049;0.258;-0.968;0.082;
19.10.2015 11:30:42.049;0.258;-0.937;0.082;
19.10.2015 11:30:43.049;0.258;-0.968;0.049;
19.10.2015 11:30:44.049;0.290;-0.968;0.049;
19.10.2015 11:30:45.049;0.290;-0.937;0.082;
19.10.2015 11:30:46.049;0.258;-0.937;0.115;
19.10.2015 11:30:47.049;0.258;-0.968;0.115;
19.10.2015 11:30:48.049;0.258;-0.937;0.082;
19.10.2015 11:30:49.049;0.258;-0.937;0.148;
19.10.2015 11:30:50.049;0.258;-0.968;0.082;
19.10.2015 11:30:51.049;0.290;-0.937;0.049;
19.10.2015 11:30:52.049;0.258;-0.937;0.049;
19.10.2015 11:30:53.049;0.258;-0.968;0.049;
19.10.2015 11:30:54.049;0.258;-0.968;0.049;
19.10.2015 11:30:55.049;0.258;-0.937;0.049;
19.10.2015 11:30:56.049;0.290;-0.937;0.016;
19.10.2015 11:30:57.049;0.258;-0.937;0.049;
19.10.2015 11:30:58.049;0.258;-0.968;0.082;
19.10.2015 11:30:59.049;0.290;-0.968;0.049;
19.10.2015 11:31:00.049;0.226;-0.968;0.016;
19.10.2015 11:31:01.049;0.226;-0.968;-0.049;
19.10.2015 11:31:02.049;0.258;-0.937;0.082;
19.10.2015 11:31:03.049;0.258;-0.968;0.115;
19.10.2015 11:31:04.049;0.290;-0.937;0.049;
19.10.2015 11:31:05.049;0.290;-0.905;0.082;
19.10.2015 11:31:06.049;0.226;-0.778;0.377;
19.10.2015 11:31:07.049;0.194;-0.968;0.148;
19.10.2015 11:31:08.049;0.226;-0.968;0.115;
19.10.2015 11:31:09.049;0.226;-0.968;0.115;
19.10.2015 11:31:10.049;0.226;-0.968;0.148;
19.10.2015 11:31:11.049;0.194;-0.968;0.148;
19.10.2015 11:31:12.049;0.226;-0.937;0.115;
19.10.2015 11:31:13.049;0.194;-0.968;0.148;
19.10.2015 11:31:14.049;0.226;-0.937;0.148;
19.10.2015 11:31:15.049;0.194;-0.937;0.148;
19.10.2015 11:31:16.049;0.194;-0.937;0.148;
19.10.2015 11:31:17.049;0.226;-0.937;0.148;
19.10.2015 11:31:18.049;0.194;-0.968;0.148;
19.10.2015 11:31:19.049;0.194;-0.968;0.082;
19.10.2015 11:31:20.049;0.226;-0.937;0.115;
19.10.2015 11:31:21.049;0.226;-0.968;0.082;
19.10.2015 11:31:22.049;0.194;-0.968;0.082;
19.10.2015 11:31:23.049;0.194;-0.937;0.082;
19.10.2015 11:31:24.049;0.194;-0.968;0.115;
19.10.2015 11:31:25.049;0.194;-0.968;0.115;
19.10.2015 11:31:26.049;0.194;-0.968;0.082;
19.10.2015 11:31:27.049;0.194;-0.968;0.115;
19.10.2015 11:31:28.049;0.194;-0.968;0.115;
19.10.2015 11:31:29.049;0.194;-0.937;0.115;
19.10.2015 11:31:30.049;0.194;-0.968;0.082;
19.10.2015 11:31:31.049;0.194;-0.968;0.082;
19.10.2015 11:31:32.049;0.194;-0.968;0.082;
19.10.2015 11:31:33.049;0.194;-0.937;0.082;
19.10.2015 11:31:34.049;0.194;-0.968;0.082;
19.10.2015 11:31:35.049;0.161;-0.968;0.082;
19.10.2015 11:31:36.049;0.161;-0.968;0.115;
19.10.2015 11:31:37.049;0.161;-0.968;0.115;
19.10.2015 11:31:38.049;0.194;-0.968;0.115;
19.10.2015 11:31:39.049;0.161;-0.968;0.115;
19.10.2015 11:31:40.049;0.194;-0.968;0.082;
19.10.2015 11:31:41.049;0.194;-0.968;0.082;
19.10.2015 11:31:42.049;0.194;-0.968;0.148;
19.10.2015 11:31:43.049;0.194;-0.968;0.115;
19.10.2015 11:31:44.049;0.194;-0.968;0.115;
19.10.2015 11:31:45.049;0.194;-0.937;0.115;
19.10.2015 11:31:46.049;0.194;-0.968;0.115;
19.10.2015 11:31:47.049;0.194;-0.968;0.115;
19.10.2015 11:31:48.049;0.194;-0.968;0.148;
19.10.2015 11:31:49.049;0.419;-0.905;0.115;
19.10.2015 11:31:50.049;0.387;-0.905;0.016;
19.10.2015 11:31:51.049;0.387;-0.905;0.016;
19.10.2015 11:31:52.049;0.387;-0.905;0.049;
19.10.2015 11:31:53.049;0.516;-0.905;0.148;
19.10.2015 11:31:54.049;0.258;-0.937;0.082;
